"","V1","V2","V3","V4","V5"
"20728",8,94,143,264,310
"21401",11,99,108,143,178
"21407",99,190,264,287,440
"21419",99,143,264,287,356
"22888",99,143,178,190,264
"22896",11,143,178,287,356
"22901",11,143,178,264,287
"24588",99,143,287,356,440
"24589",99,143,264,287,440
"24592",99,143,178,264,287
"25358",11,108,143,190,264
"25359",11,143,190,264,356
"25378",99,108,143,190,440
"29874",11,190,264,266,287
"29898",11,94,99,143,264
"30119",143,178,190,264,440
"30931",11,94,99,143,440
"30932",11,94,143,190,440
"37672",108,143,190,264,266
"37680",11,143,190,287,356
"37700",11,108,143,190,287
"37704",11,108,143,190,266
"38640",11,143,178,264,266
"44267",99,108,178,287,356
"44274",108,178,266,287,356
"44306",94,178,264,374,440
"44379",94,99,178,374,440
"45349",11,264,266,287,440
"45372",108,190,266,287,374
"45999",11,178,190,266,287
"46006",94,99,243,374,440
"47638",99,178,264,266,374
"47641",94,99,178,264,374
"47646",94,99,264,374,440
"48871",190,264,266,287,356
"48889",99,108,178,190,374
"48892",94,178,190,243,374
"50097",99,108,178,287,374
"50105",11,99,243,287,356
"50118",108,190,243,266,287
"50124",11,99,190,243,287
"50203",190,243,266,287,356
"51084",99,266,287,356,374
"52470",108,190,287,374,440
"52477",11,266,287,356,374
"52483",94,99,266,287,374
"52497",99,178,190,266,287
"59957",94,310,356,374,440
"60422",178,190,243,266,287
"60432",94,266,310,374,440
"62478",11,108,190,243,266
"62484",99,178,190,243,266
"62498",11,190,243,266,287
"62511",11,99,190,243,266
